musteri_id,yas,yas_grubu,sehir,segment,urun_tipi,kanal,musteri_suresi_yil,son_islem_gun,musteri_durumu,churn_riski_pct,bakiye_tl,bakiye_degisim_pct
MUS0001,62,51+,Antalya,Bireysel,Vadesiz Mevduat,Şube,2,4,Aktif,29,32218.47,5.7
MUS0002,27,22-35,İstanbul,Bireysel,Yatırım Hesabı,Mobil,10,8,Aktif,16,22794.54,-28.9
MUS0003,34,22-35,Gaziantep,Özel Bankacılık,İhtiyaç Kredisi,Şube,12,37,Risk Altında,38,39518.68,-29.7
MUS0004,32,22-35,Adana,Bireysel,Yatırım Hesabı,ATM,12,11,Aktif,16,621.57,-14.8
MUS0005,44,36-50,Antalya,KOBİ,Konut Kredisi,Mobil,14,18,Aktif,4,1865.44,6.9
MUS0006,27,22-35,Adana,KOBİ,Konut Kredisi,Şube,9,2,Aktif,22,31369.48,0.9
MUS0007,27,22-35,Ankara,Özel Bankacılık,Kredi Kartı,İnternet,14,43,Risk Altında,39,3945.98,-15.8
MUS0008,64,51+,İzmir,Bireysel,Vadesiz Mevduat,Şube,5,13,Aktif,14,9847.13,7.0
MUS0009,66,51+,Adana,Bireysel,Kredi Kartı,Mobil,9,11,Aktif,6,17064.06,-27.4
MUS0010,58,51+,Bursa,Özel Bankacılık,Konut Kredisi,İnternet,15,15,Aktif,10,2857.94,-24.4
MUS0011,57,51+,Gaziantep,Özel Bankacılık,Konut Kredisi,İnternet,9,5,Aktif,-3,23023.95,-26.4
MUS0012,25,22-35,İzmir,KOBİ,Vadesiz Mevduat,Şube,14,58,Risk Altında,33,-1505.98,-14.7
MUS0013,51,51+,İstanbul,KOBİ,Konut Kredisi,Mobil,9,9,Aktif,7,37272.93,-16.4
MUS0014,40,36-50,Konya,KOBİ,Kredi Kartı,Mobil,7,17,Aktif,13,36907.92,-9.7
MUS0015,28,22-35,Bursa,Özel Bankacılık,Konut Kredisi,Şube,14,18,Aktif,25,47442.49,6.9
MUS0016,22,22-35,Konya,Bireysel,Konut Kredisi,Mobil,10,10,Aktif,21,8169.88,-20.4
MUS0017,58,51+,Konya,KOBİ,Vadesiz Mevduat,Mobil,2,5,Aktif,19,31286.3,7.9
MUS0018,32,22-35,Gaziantep,KOBİ,İhtiyaç Kredisi,Şube,5,10,Aktif,26,16944.58,-3.1
MUS0019,45,36-50,Konya,Bireysel,İhtiyaç Kredisi,Mobil,8,3,Aktif,-3,13594.71,-6.5
MUS0020,36,36-50,İstanbul,KOBİ,Kredi Kartı,Mobil,10,2,Aktif,25,7591.8,6.2
MUS0021,43,36-50,Bursa,KOBİ,İhtiyaç Kredisi,ATM,2,7,Aktif,30,24657.87,-1.1
MUS0022,58,51+,Bursa,Özel Bankacılık,Yatırım Hesabı,İnternet,10,4,Aktif,-4,331.19,-12.8
MUS0023,49,36-50,İstanbul,Bireysel,Yatırım Hesabı,Mobil,7,11,Aktif,2,39032.59,-25.6
MUS0024,34,22-35,Konya,Özel Bankacılık,İhtiyaç Kredisi,Şube,4,9,Aktif,25,20444.54,5.0
MUS0025,26,22-35,Ankara,KOBİ,İhtiyaç Kredisi,Mobil,8,1,Aktif,27,48294.79,7.1
MUS0026,37,36-50,Konya,Bireysel,Yatırım Hesabı,İnternet,3,2,Aktif,2,4055.04,-29.9
MUS0027,46,36-50,Antalya,KOBİ,Yatırım Hesabı,İnternet,5,16,Aktif,7,3513.83,-18.1
MUS0028,25,22-35,İstanbul,Bireysel,İhtiyaç Kredisi,ATM,10,19,Aktif,11,21223.37,6.8
MUS0029,55,51+,Ankara,Bireysel,Vadesiz Mevduat,Şube,3,3,Aktif,19,32136.69,-20.6
MUS0030,29,22-35,Bursa,KOBİ,İhtiyaç Kredisi,Mobil,15,14,Aktif,12,31155.52,-7.4
MUS0031,42,36-50,Bursa,Bireysel,Konut Kredisi,ATM,15,13,Aktif,-2,2198.31,-4.2
MUS0032,51,51+,İstanbul,KOBİ,Vadesiz Mevduat,İnternet,6,4,Aktif,8,-970.66,-21.5
