islem_id,musteri_id,tarih_saat,gun_adi,saat,gece_mi,kategori,kanal,tutar_tl,musteri_ort_islem_tl,sapma_pct,sehir,yurtdisi_mi,z_skoru,risk_skoru,fraud_flag,fraud_tipi
TXN002026,MUS0494,2024-03-14 10:10:00,Perşembe,10,0,ATM Nakit,Temassız,103.98,87.96,18.2,İstanbul,0,0.94,13,0,normal
TXN000153,MUS0736,2024-12-30 17:40:00,Pazartesi,17,0,ATM Nakit,Temassız,85.29,145.95,-41.6,Konya,0,1.61,12,0,normal
TXN003923,MUS0514,2024-02-26 14:05:00,Pazartesi,14,0,Market,Fiziksel Kart,530.22,705.35,-24.8,İzmir,0,0.84,11,0,normal
TXN000847,MUS0080,2024-03-31 03:05:00,Pazar,3,1,Online Alışveriş,ATM,135.75,160.47,-15.4,Adana,0,1.06,6,0,normal
TXN004544,MUS0578,2024-04-12 11:15:00,Cuma,11,0,Uluslararası,Fiziksel Kart,321.07,761.55,-57.8,Ankara,0,1.12,6,0,normal
TXN002942,MUS0747,2024-02-23 23:51:00,Cuma,23,1,Yakıt,Fiziksel Kart,705.31,584.36,20.7,İzmir,0,1.79,16,0,normal
TXN003685,MUS0193,2024-08-18 09:58:00,Pazar,9,0,Sağlık,Fiziksel Kart,680.71,422.78,61.0,Konya,0,0.94,18,0,normal
TXN000990,MUS0232,2024-11-05 20:58:00,Salı,20,0,Yakıt,Fiziksel Kart,417.28,277.81,50.2,İstanbul,0,0.24,8,0,normal
TXN003840,MUS0534,2024-02-13 13:23:00,Salı,13,0,Uluslararası,ATM,425.13,709.81,-40.1,Mersin,0,0.24,0,0,normal
TXN003189,MUS0625,2024-10-09 10:43:00,Çarşamba,10,0,Restoran,ATM,336.19,494.54,-32.0,İzmir,0,0.11,2,0,normal
TXN004571,MUS0184,2024-03-22 17:57:00,Cuma,17,0,Restoran,Fiziksel Kart,181.43,391.84,-53.7,Gaziantep,0,0.39,3,0,normal
TXN000792,MUS0723,2024-08-15 07:06:00,Perşembe,7,0,Uluslararası,ATM,523.53,614.63,-14.8,Gaziantep,0,0.32,12,0,normal
TXN004958,MUS0281,2024-09-09 22:25:00,Pazartesi,22,0,Market,Online,923.29,792.17,16.6,İstanbul,0,0.65,15,0,normal
TXN001260,MUS0773,2024-10-29 11:56:00,Salı,11,0,ATM Nakit,Online,186.26,425.78,-56.3,Eskişehir,0,0.38,7,0,normal
