basvuru_id,kanal,urun_tipi,il,ay,yas,aylik_gelir_tl,talep_tutar_tl,kredi_skoru,basvuru,degerlendirme,onay,kullanim,son_asama,red_nedeni,degerlendirme_sure_gun,onay_sure_gun,toplam_sure_gun
BAS00001,Mobil,İşletme Kredisi,İzmir,2024-06,39,40592,338549,588,1,1,0,0,Değerlendirme,Yaş Sınırı,1.3,,1.6
BAS00002,Mobil,İşletme Kredisi,İstanbul,2024-09,60,26401,650428,670,1,1,0,0,Değerlendirme,Yüksek Borç/Gelir,2.1,,2.4
BAS00003,Şube,İhtiyaç Kredisi,Bursa,2024-01,46,34033,182794,697,1,1,0,0,Değerlendirme,Eksik Belge,0.9,,1.1
BAS00004,Mobil,İhtiyaç Kredisi,Antalya,2024-11,55,33036,166673,546,1,1,0,0,Değerlendirme,Teminat Yetersiz,2.1,,2.5
BAS00005,Mobil,Taşıt Kredisi,Ankara,2024-05,36,48416,422884,475,1,1,1,1,Kullanım,,1.3,1.0,2.6
BAS00006,Mobil,İhtiyaç Kredisi,Gaziantep,2024-01,50,30044,24094,548,1,0,0,0,Başvuru,,,,0.4
BAS00007,Şube,İhtiyaç Kredisi,Gaziantep,2024-11,40,22972,21330,481,1,1,1,1,Kullanım,,0.6,0.5,1.3
BAS00008,Şube,Taşıt Kredisi,Bursa,2024-12,31,25978,263069,480,1,1,1,1,Kullanım,,1.0,0.5,1.6
BAS00009,Şube,İhtiyaç Kredisi,Bursa,2024-08,61,11234,10000,603,1,1,0,0,Değerlendirme,Yüksek Borç/Gelir,1.2,,1.6
BAS00010,Şube,Konut Kredisi,Bursa,2024-02,47,42838,1814032,619,1,1,1,1,Kullanım,,1.5,0.3,1.9
BAS00011,Mobil,Taşıt Kredisi,İstanbul,2024-12,61,13050,412197,511,1,1,0,0,Değerlendirme,Yaş Sınırı,1.0,,1.3
BAS00012,Şube,Konut Kredisi,Ankara,2024-01,22,38763,1725522,530,1,1,1,1,Kullanım,,1.8,0.5,2.7
BAS00013,İnternet,Taşıt Kredisi,Antalya,2024-10,54,22896,304953,611,1,1,0,0,Değerlendirme,Gelir Doğrulanamadı,2.3,,2.6
BAS00014,Şube,İşletme Kredisi,Antalya,2024-11,24,28870,498979,596,1,0,0,0,Başvuru,,,,0.1
BAS00015,Mobil,İhtiyaç Kredisi,Gaziantep,2024-09,24,15700,131701,468,1,1,1,1,Kullanım,,1.5,0.9,2.7
BAS00016,İnternet,İşletme Kredisi,Ankara,2024-05,50,19554,589346,599,1,1,0,0,Değerlendirme,Gelir Doğrulanamadı,2.0,,2.2
BAS00017,Çağrı Merkezi,Konut Kredisi,Adana,2024-05,50,35333,1808073,589,1,0,0,0,Başvuru,,,,0.3
BAS00018,Mobil,İhtiyaç Kredisi,Adana,2024-10,62,8000,182362,589,1,0,0,0,Başvuru,,,,0.4
BAS00019,Çağrı Merkezi,Taşıt Kredisi,Bursa,2024-06,27,26885,344586,508,1,1,1,1,Kullanım,,2.7,1.5,4.6
BAS00020,İnternet,Taşıt Kredisi,Ankara,2024-12,53,17877,381924,619,1,1,1,1,Kullanım,,2.2,1.1,3.5
BAS00021,Mobil,Konut Kredisi,Adana,2024-07,52,30394,1806215,608,1,1,0,0,Değerlendirme,Düşük Kredi Skoru,2.2,,2.7
BAS00022,Çağrı Merkezi,Konut Kredisi,Ankara,2024-03,59,23128,1691004,669,1,1,0,0,Değerlendirme,Eksik Belge,2.4,,2.5
BAS00023,Mobil,İhtiyaç Kredisi,Antalya,2024-04,28,28421,33170,482,1,1,0,0,Değerlendirme,Gelir Doğrulanamadı,2.6,,3.0
BAS00024,Mobil,Taşıt Kredisi,Gaziantep,2024-09,22,27827,419782,581,1,0,0,0,Başvuru,,,,0.2
BAS00025,Mobil,İhtiyaç Kredisi,Adana,2024-06,30,22382,62265,392,1,0,0,0,Başvuru,,,,0.2
BAS00026,İnternet,İhtiyaç Kredisi,Ankara,2024-04,55,30055,10000,747,1,1,1,0,Onaylandı,,1.8,0.8,3.1
BAS00027,Şube,Taşıt Kredisi,Gaziantep,2024-11,58,12517,343838,698,1,1,1,1,Kullanım,,2.1,0.6,3.0
BAS00028,Mobil,Taşıt Kredisi,İstanbul,2024-02,59,29479,456226,593,1,1,1,1,Kullanım,,2.1,0.8,3.3
BAS00029,Mobil,İşletme Kredisi,Antalya,2024-06,62,46650,409637,780,1,1,1,1,Kullanım,,1.0,0.6,1.8
BAS00030,Mobil,Taşıt Kredisi,Adana,2024-10,30,28311,492068,467,1,1,0,0,Değerlendirme,Eksik Belge,1.6,,2.0
BAS00031,Mobil,İşletme Kredisi,Antalya,2024-06,32,45592,363171,605,1,0,0,0,Başvuru,,,,0.4
BAS00032,Mobil,Taşıt Kredisi,İzmir,2024-09,38,35899,304882,483,1,1,0,0,Değerlendirme,Yüksek Borç/Gelir,2.0,,2.5
BAS00033,İnternet,İhtiyaç Kredisi,İstanbul,2024-04,31,54552,76460,559,1,1,1,0,Onaylandı,,1.9,0.8,2.8
BAS00034,Şube,İhtiyaç Kredisi,İstanbul,2024-11,31,24606,223817,412,1,0,0,0,Başvuru,,,,0.3
BAS00035,Mobil,İhtiyaç Kredisi,Ankara,2024-05,26,31456,10000,495,1,0,0,0,Başvuru,,,,0.4
BAS00036,Çağrı Merkezi,İhtiyaç Kredisi,İstanbul,2024-11,56,68504,73519,687,1,1,0,0,Değerlendirme,Düşük Kredi Skoru,2.6,,2.9
BAS00037,İnternet,İhtiyaç Kredisi,Konya,2024-04,42,26762,108451,596,1,1,0,0,Değerlendirme,Teminat Yetersiz,2.3,,2.4
BAS00038,İnternet,İşletme Kredisi,İstanbul,2024-12,54,18590,428924,694,1,0,0,0,Başvuru,,,,0.4
BAS00039,Mobil,Taşıt Kredisi,Adana,2024-08,24,8000,460667,404,1,1,1,1,Kullanım,,2.1,0.9,3.4
BAS00040,İnternet,Taşıt Kredisi,Antalya,2024-04,26,25830,337906,355,1,0,0,0,Başvuru,,,,0.2
BAS00041,Mobil,İhtiyaç Kredisi,Bursa,2024-02,47,23421,166952,614,1,1,1,1,Kullanım,,1.5,1.1,2.7
BAS00042,Şube,İhtiyaç Kredisi,İstanbul,2024-05,42,8000,114335,586,1,1,1,1,Kullanım,,2.0,0.6,3.0
