musteri_id,yas,sehir,segment,egitim_duzeyi,meslek,ana_urun,aylik_gelir_tl,banka_bakiyesi_tl,kredi_skoru,kredi_tutari_tl,npl_flag,dijital_kullanim_skoru,uyelik_ay,son_3ay_islem_sayisi
MUS0001,45,İstanbul,Bireysel,Üniversite,Serbest Meslek,Kredi Kartı,33217,127979.69,520,0,0,84,76,23
MUS0002,58,Kayseri,KOBİ,Lise,Emekli,Yatırım Hesabı,35377,282010.42,653,470111.08,0,63,151,31
MUS0003,49,Antalya,Bireysel,Üniversite,Akademisyen,İhtiyaç Kredisi,6420,17887.52,501,0,0,87,1,5
MUS0004,56,İstanbul,KOBİ,Üniversite,Çalışan,Vadesiz Mevduat,34652,83037.51,705,0,0,76,110,13
MUS0005,25,İzmir,Bireysel,Üniversite,Serbest Meslek,Kredi Kartı,23060,100834.34,669,287840.12,0,94,55,31
MUS0006,22,Mersin,Bireysel,Lisansüstü,Çalışan,Kredi Kartı,45730,106863.59,675,615769.88,0,90,57,0
MUS0007,29,İzmir,Bireysel,Üniversite,Memur,Vadesiz Mevduat,33331,103910.52,653,0,0,100,23,32
MUS0008,35,Kayseri,Bireysel,Lisansüstü,Memur,Vadesiz Mevduat,36380,134531.02,720,361303.92,0,97,98,15
MUS0009,36,Ankara,Bireysel,Lisansüstü,Çalışan,Yatırım Hesabı,48989,205535.93,534,0,0,89,71,20
MUS0010,44,Antalya,KOBİ,Lise,Serbest Meslek,Yatırım Hesabı,44350,165118.3,610,0,0,69,74,15
MUS0011,68,Antalya,Bireysel,Üniversite,Esnaf,İhtiyaç Kredisi,25404,104187.55,528,0,0,41,114,3
MUS0012,60,Ankara,Bireysel,Lise,Esnaf,Yatırım Hesabı,18474,99753.12,722,422577.57,0,59,57,23
MUS0013,59,Mersin,Bireysel,Üniversite,Serbest Meslek,İhtiyaç Kredisi,32067,89273.88,715,733068.9,0,63,1,27
MUS0014,41,Ankara,Bireysel,Lise,Serbest Meslek,Yatırım Hesabı,12638,58947.78,560,0,0,82,1,30
MUS0015,48,Kayseri,Bireysel,Üniversite,Memur,Kredi Kartı,38976,173726.69,716,45203.47,0,100,83,9
MUS0016,45,Kayseri,Özel Bankacılık,Üniversite,Emekli,Kredi Kartı,179311,1263259.01,900,3048569.21,0,82,123,14
MUS0017,18,İzmir,Bireysel,Ortaokul,Memur,Kredi Kartı,16877,27300.04,489,475756.74,0,90,56,30
MUS0018,18,Antalya,Bireysel,Lise,Akademisyen,Konut Kredisi,21298,90551.07,538,0,0,83,63,8
MUS0019,38,Ankara,Bireysel,Lisansüstü,Çalışan,Konut Kredisi,72119,517078.99,652,0,0,68,68,20
MUS0020,46,Ankara,Bireysel,Lisansüstü,Serbest Meslek,Konut Kredisi,60207,150127.69,655,0,0,80,40,15
MUS0021,34,İstanbul,Özel Bankacılık,Ortaokul,Emekli,Konut Kredisi,75597,339637.92,835,2598259.59,0,61,12,44
MUS0022,60,İstanbul,Bireysel,Üniversite,Esnaf,Yatırım Hesabı,32807,158703.03,588,0,0,95,137,2
MUS0023,61,Ankara,Bireysel,Lise,Esnaf,İhtiyaç Kredisi,16529,87819.67,592,322975.55,0,46,118,46
MUS0024,39,Bursa,Bireysel,Lise,Akademisyen,Vadesiz Mevduat,19021,51129.79,589,0,0,56,144,27
MUS0025,35,Antalya,Bireysel,Lisansüstü,Çalışan,Konut Kredisi,44494,108177.14,721,0,0,88,167,43
MUS0026,30,Antalya,Özel Bankacılık,İlkokul,Esnaf,İhtiyaç Kredisi,57388,0,728,1273615.65,0,54,18,27
MUS0027,29,Bursa,Bireysel,Lise,Memur,Konut Kredisi,12430,87535.79,667,179668.1,0,69,42,19
MUS0028,41,İzmir,Bireysel,Üniversite,Çalışan,İhtiyaç Kredisi,29923,105108.72,688,0,0,71,27,14
MUS0029,44,İzmir,Özel Bankacılık,Üniversite,Çalışan,Yatırım Hesabı,117779,190554.07,900,3405653.62,0,81,46,55
MUS0030,51,Konya,KOBİ,Lise,Akademisyen,Yatırım Hesabı,45874,316604.87,597,0,0,63,151,22
MUS0031,27,Gaziantep,Bireysel,Lise,Akademisyen,Yatırım Hesabı,19523,95342.89,536,163906.82,0,86,38,40
MUS0032,57,Kayseri,KOBİ,Lise,Esnaf,İhtiyaç Kredisi,27801,68678.06,643,254594.89,0,38,45,15
MUS0033,47,Antalya,Bireysel,Lise,Esnaf,Vadesiz Mevduat,20991,61291.73,482,202212.68,0,76,85,34
